"bill","policy","sponsor","cosponsors"
"S_3017","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Cotton, Tom [R-AR]"
"S_3017","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Scott, Rick  [R-FL]"
"S_3018","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Rubio, Marco [R-FL]"
"S_3018","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Cotton, Tom [R-AR]"
"S_3018","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Scott, Rick  [R-FL]"
"S_3018","International Affairs","Sen. Grassley, Chuck [R-IA]","Sen. Cruz, Ted [R-TX]"
"S_3019","Native Americans","Sen. Daines, Steve [R-MT]","Sen. Tester, Jon [D-MT]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Bennet, Michael F. [D-CO]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Capito, Shelley Moore [R-WV]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Collins, Susan M. [R-ME]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Daines, Steve [R-MT]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Ernst, Joni  [R-IA]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Gardner, Cory [R-CO]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Graham, Lindsey [R-SC]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Hassan, Margaret Wood [D-NH]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. King, Angus S., Jr. [I-ME]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Shaheen, Jeanne [D-NH]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Tester, Jon [D-MT]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Heinrich, Martin [D-NM]"
"S_302","Public Lands and Natural Resources","Sen. Burr, Richard [R-NC]","Sen. Alexander, Lamar [R-TN]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Sullivan, Dan  [R-AK]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Tester, Jon [D-MT]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Daines, Steve [R-MT]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Murkowski, Lisa [R-AK]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Wyden, Ron [D-OR]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Klobuchar, Amy [D-MN]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Smith, Tina  [D-MN]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Cardin, Benjamin L. [D-MD]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Murray, Patty [D-WA]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Merkley, Jeff [D-OR]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Schumer, Charles E. [D-NY]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Sanders, Bernard [I-VT]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Gillibrand, Kirsten E. [D-NY]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Blackburn, Marsha [R-TN]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Feinstein, Dianne [D-CA]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Peters, Gary C. [D-MI]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Stabenow, Debbie [D-MI]"
"S_3020","Armed Forces and National Security","Sen. Baldwin, Tammy [D-WI]","Sen. Durbin, Richard J. [D-IL]"
"S_3021","Health","Sen. Blumenthal, Richard [D-CT]","Sen. Blumenthal, Richard [D-CT]"
"S_3022","Immigration","Sen. McSally, Martha [R-AZ]","Sen. Sinema, Kyrsten [D-AZ]"
"S_3022","Immigration","Sen. McSally, Martha [R-AZ]","Sen. Kelly, Mark [D-AZ]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Coons, Christopher A. [D-DE]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Hyde-Smith, Cindy [R-MS]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Casey, Robert P., Jr. [D-PA]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Wicker, Roger F. [R-MS]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Bennet, Michael F. [D-CO]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Brown, Sherrod [D-OH]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Gillibrand, Kirsten E. [D-NY]"
"S_3023","Health","Sen. Ernst, Joni  [R-IA]","Sen. Loeffler, Kelly [R-GA]"
"S_3024","Transportation and Public Works","Sen. Kennedy, John [R-LA]","Sen. Kennedy, John [R-LA]"
"S_3025","Families","Sen. Grassley, Chuck [R-IA]","Sen. Wyden, Ron [D-OR]"
"S_3026","International Affairs","Sen. Cardin, Benjamin L. [D-MD]","Sen. Wicker, Roger F. [R-MS]"
"S_3026","International Affairs","Sen. Cardin, Benjamin L. [D-MD]","Sen. Van Hollen, Chris [D-MD]"
"S_3027","Families","Sen. Brown, Sherrod [D-OH]","Sen. Blunt, Roy [R-MO]"
"S_3028","Education","Sen. Reed, Jack [D-RI]","Sen. Collins, Susan M. [R-ME]"
"S_3029","Health","Sen. Menendez, Robert [D-NJ]","Sen. Blumenthal, Richard [D-CT]"
"S_3029","Health","Sen. Menendez, Robert [D-NJ]","Sen. Gillibrand, Kirsten E. [D-NY]"
"S_3029","Health","Sen. Menendez, Robert [D-NJ]","Sen. Booker, Cory A. [D-NJ]"
"S_3029","Health","Sen. Menendez, Robert [D-NJ]","Sen. Schumer, Charles E. [D-NY]"
"S_303","Education","Sen. Cornyn, John [R-TX]","Sen. Manchin, Joe, III [D-WV]"
"S_303","Education","Sen. Cornyn, John [R-TX]","Sen. Tillis, Thom [R-NC]"
"S_303","Education","Sen. Cornyn, John [R-TX]","Sen. Harris, Kamala D. [D-CA]"
"S_303","Education","Sen. Cornyn, John [R-TX]","Sen. Collins, Susan M. [R-ME]"
"S_303","Education","Sen. Cornyn, John [R-TX]","Sen. Rosen, Jacky [D-NV]"
"S_3030","Housing and Community Development","Sen. Bennet, Michael F. [D-CO]","Sen. Portman, Rob [R-OH]"
"S_3030","Housing and Community Development","Sen. Bennet, Michael F. [D-CO]","Sen. Young, Todd [R-IN]"
"S_3030","Housing and Community Development","Sen. Bennet, Michael F. [D-CO]","Sen. Brown, Sherrod [D-OH]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Blackburn, Marsha [R-TN]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Cornyn, John [R-TX]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Cruz, Ted [R-TX]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Graham, Lindsey [R-SC]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Hawley, Josh  [R-MO]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Perdue, David [R-GA]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Romney, Mitt  [R-UT]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Sasse, Ben  [R-NE]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Kennedy, John [R-LA]"
"S_3031","Immigration","Sen. Cotton, Tom [R-AR]","Sen. Scott, Rick  [R-FL]"
"S_3032","Taxation","Sen. Bennet, Michael F. [D-CO]","Sen. Bennet, Michael F. [D-CO]"
"S_3033","Education","Sen. Peters, Gary C. [D-MI]","Sen. Scott, Rick  [R-FL]"
"S_3034","Foreign Trade and International Finance","Sen. Peters, Gary C. [D-MI]","Sen. Stabenow, Debbie [D-MI]"
"S_3034","Foreign Trade and International Finance","Sen. Peters, Gary C. [D-MI]","Sen. Gillibrand, Kirsten E. [D-NY]"
